1 27 1 34 1 46
2 26 2 19 2 18
3 25 3 22 3 21
4 15 4 14 4 14
5 16 5 12 5 11
6 11 6 10 6 10
7 11 7 10 7 10
8 11 8 10 8 10
9 11 9 10 9 10
10 15 10 11 10 8
11 10 11 9 11 7
12 9 12 9 12 7
13 9 13 9 13 7
14 9 14 9 14 7
15 9 15 9 15 7
16 9 16 9 16 7
17 9 17 9 17 7
18 9 18 9 18 7
19 10 19 9 19 7
20 13 20 11 20 5
21 10 21 9 21 5
22 9 22 9 22 5
23 9 23 9 23 5
24 9 24 9 24 5
25 9 25 9 25 5
26 9 26 9 26 5
27 9 27 9 27 5
28 9 28 9 28 5
29 9 29 9 29 5
30 9 30 9 30 5
31 9 31 9 31 5
32 9 32 9 32 5
33 9 33 9 33 5
34 9 34 9 34 5
35 9 35 9 35 5
36 9 36 9 36 5
37 9 37 9 37 5
38 9 38 9 38 5
39 11 39 11 39 4
40 13 40 12 40 3
41 12 41 11 41 3
42 11 42 10 42 3
43 11 43 11 43 3
44 11 44 10 44 3
45 10 45 10 45 3
46 10 46 10 46 3
47 10 47 10 47 3
48 10 48 10 48 3
49 10 49 11 49 3
50 10 50 10 50 3
51 10 51 10 51 3
52 10 52 10 52 3
53 10 53 10 53 3
54 11 54 11 54 3
55 11 55 10 55 3
56 10 56 10 56 3
57 11 57 10 57 3
58 10 58 10 58 3
59 10 59 10 59 3
60 10 60 10 60 3
61 10 61 10 61 3
62 10 62 10 62 3
63 11 63 10 63 3
64 10 64 10 64 3
65 10 65 10 65 3
66 10 66 11 66 3
67 10 67 10 67 3
68 11 68 10 68 3
69 10 69 11 69 3
70 15 70 16 70 4
71 11 71 10 71 3
72 10 72 11 72 3
73 10 73 10 73 3
74 10 74 10 74 3
75 10 75 10 75 3
76 10 76 10 76 3
77 10 77 10 77 3
78 10 78 10 78 3
79 17 79 18 79 1
