100 24 100 22 100 15
110 26 110 21 110 18
120 29 120 23 120 20
130 31 130 26 130 22
140 34 140 29 140 25
150 37 150 33 150 29
160 39 160 35 160 31
170 45 170 38 170 50
180 49 180 42 180 37
190 52 190 45 190 41
200 54 200 49 200 45
210 58 210 50 210 46
220 61 220 53 220 48
230 64 230 57 230 52
240 67 240 58 240 54
250 69 250 63 250 58
260 74 260 69 260 62
270 77 270 68 270 63
280 81 280 75 280 69
290 82 290 74 290 68
300 86 300 79 300 75
310 91 310 87 310 97
320 113 320 107 320 81
330 100 330 93 330 86
340 106 340 103 340 38
350 45 350 40 350 38
360 47 360 43 360 41
370 55 370 45 370 43
380 49 380 46 380 42
390 51 390 47 390 45
400 52 400 49 400 53
410 53 410 50 410 48
420 59 420 55 420 50
430 57 430 54 430 51
440 58 440 54 440 58
450 65 450 57 450 53
460 70 460 57 460 55
470 70 470 60 470 57
480 63 480 60 480 58
490 65 490 62 490 60
500 67 500 70 500 61
510 69 510 65 510 61
520 70 520 66 520 63
530 71 530 67 530 64
540 72 540 69 540 66
550 75 550 81 550 68
560 75 560 73 560 70
570 76 570 73 570 70
580 78 580 76 580 73
590 81 590 78 590 75
600 82 600 77 600 74
610 83 610 80 610 78
620 86 620 82 620 79
630 86 630 82 630 79
640 88 640 85 640 82
650 92 650 87 650 84
660 94 660 91 660 86
670 97 670 93 670 89
680 99 680 95 680 91
690 99 690 95 690 92
700 101 700 97 700 94
710 103 710 99 710 95
720 107 720 102 720 100
730 106 730 102 730 98
740 108 740 104 740 100
750 111 750 106 750 103
760 113 760 107 760 104
770 116 770 114 770 105
780 114 780 109 780 106
790 116 790 111 790 109
800 118 800 113 800 110
810 119 810 121 810 113
820 121 820 118 820 115
830 122 830 117 830 113
840 125 840 120 840 118
850 126 850 122 850 119
860 145 860 168 860 161
870 168 870 164 870 162
880 170 880 167 880 161
890 171 890 168 890 165
900 182 900 171 900 168
910 178 910 170 910 170
920 184 920 175 920 172
930 181 930 177 930 174
940 183 940 178 940 176
950 188 950 182 950 182
960 188 960 185 960 187
970 189 970 186 970 182
980 194 980 189 980 188
990 195 990 193 990 189
