100 14 100 13 100 12
110 10 110 8 110 7
120 12 120 10 120 8
130 13 130 11 130 10
140 14 140 12 140 11
150 15 150 14 150 12
160 18 160 16 160 14
170 18 170 17 170 16
180 20 180 19 180 17
190 21 190 19 190 17
200 23 200 21 200 20
210 23 210 20 210 19
220 25 220 26 220 24
230 25 230 23 230 21
240 27 240 26 240 24
250 28 250 25 250 23
260 30 260 28 260 26
270 31 270 29 270 26
280 34 280 32 280 33
290 34 290 32 290 30
300 37 300 35 300 33
310 38 310 36 310 34
320 40 320 38 320 47
330 41 330 39 330 37
340 42 340 41 340 43
350 52 350 47 350 42
360 48 360 51 360 42
370 48 370 47 370 54
380 50 380 48 380 47
390 51 390 50 390 48
400 54 400 53 400 50
410 52 410 58 410 47
420 53 420 50 420 49
430 54 430 53 430 51
440 57 440 55 440 52
450 58 450 57 450 53
460 59 460 57 460 55
470 61 470 59 470 56
480 63 480 60 480 58
490 64 490 61 490 60
500 65 500 63 500 61
510 67 510 67 510 64
520 68 520 67 520 65
530 72 530 70 530 67
540 72 540 77 540 67
550 74 550 73 550 70
560 76 560 75 560 71
570 78 570 76 570 74
580 79 580 78 580 75
590 81 590 80 590 84
600 88 600 82 600 79
610 84 610 83 610 80
620 86 620 85 620 82
630 86 630 84 630 81
640 91 640 89 640 86
650 102 650 96 650 107
660 93 660 92 660 88
670 96 670 95 670 93
680 96 680 95 680 92
690 97 690 96 690 92
700 101 700 100 700 97
710 104 710 102 710 100
720 103 720 103 720 99
730 106 730 105 730 103
740 109 740 107 740 104
750 111 750 110 750 106
760 112 760 111 760 108
770 116 770 114 770 110
780 117 780 115 780 112
790 119 790 117 790 113
800 123 800 126 800 118
810 118 810 117 810 113
820 117 820 114 820 110
830 119 830 118 830 114
840 121 840 119 840 115
850 120 850 119 850 119
860 125 860 123 860 118
870 127 870 125 870 121
880 142 880 124 880 120
890 129 890 127 890 126
900 132 900 135 900 125
910 133 910 131 910 127
920 133 920 147 920 128
930 135 930 133 930 130
940 136 940 135 940 132
950 138 950 137 950 132
960 143 960 140 960 135
970 143 970 141 970 136
980 144 980 142 980 137
990 147 990 150 990 141
