0 622
1 506
2 1163
3 1338
4 1208
5 1644
6 1835
7 1985
8 2506
9 3208
10 3112
11 3453
12 3448
13 3529
14 4029
15 4456
16 4255
17 5427
18 5598
19 6079
20 6901
21 7102
22 7102
23 7352
24 7838
25 8199
26 8335
27 8801
28 8971
29 9597
30 9557
31 9722
32 10304
33 11371
34 10754
35 11487
36 11396
37 11943
38 12414
39 12559
40 24607
41 12689
42 13537
43 13962
44 14894
45 14469
46 14559
47 15186
48 15842
49 15526
50 15997
51 16473
52 16137
53 16829
54 17510
55 18027
56 18212
57 18096
58 19275
59 19105
60 19310
61 18273
62 16328
63 17666
64 19235
65 11637
66 19275
67 17611
68 19104
69 17917
70 19665
71 22111
72 33713
73 23023
74 22998
75 23375
76 24166
77 24547
78 24452
79 25493
80 25820
81 25554
82 26025
83 26882
84 26793
85 26571
86 27699
87 28040
88 27654
89 29122
90 29032
91 27558
92 29042
93 26436
94 23495
95 16568
96 17821
97 16995
98 17145
99 18258
100 17385
