0 722
1 461
2 476
3 421
4 411
5 386
6 416
7 467
8 421
9 361
10 436
11 556
12 456
13 482
14 526
15 461
16 487
17 601
18 622
19 592
20 556
21 641
22 576
23 606
24 647
25 676
26 667
27 772
28 641
29 616
30 742
31 692
32 756
33 752
34 826
35 722
36 691
37 712
38 762
39 767
40 852
41 812
42 726
43 898
44 827
45 922
46 982
47 1088
48 903
49 1042
50 977
51 1017
52 902
53 1017
54 1078
55 957
56 1022
57 1103
58 1042
59 1058
60 1132
61 1127
62 1098
63 1133
64 1128
65 1263
66 1202
67 1219
68 1257
69 1288
70 1278
71 1288
72 1263
73 1288
74 1363
75 1208
76 1348
77 1344
78 1368
79 1399
80 1424
81 1488
82 1498
83 1464
84 1409
85 1428
86 1514
87 1624
88 1674
89 1588
90 1578
91 1448
92 1533
93 1633
94 1373
95 1744
96 1639
97 1534
98 1533
99 1689
100 1754
