1 578
2 383
4 604
5 431
6 449
7 556
8 481
9 1237
10 385
11 425
12 765
13 425
14 687
15 423
16 1235
17 609
18 449
19 439
20 433
21 462
22 428
23 435
24 438
25 435
26 457
27 853
28 423
29 417
30 414
31 420
32 422
33 722
34 1241
35 334
36 732
37 435
38 1155
39 355
40 903
41 489
42 762
43 422
44 422
45 425
46 492
47 409
48 380
49 401
50 506
51 848
52 377
53 356
54 415
55 436
56 516
57 615
58 1206
59 302
60 692
61 575
62 395
63 791
64 308
65 366
66 505
67 379
68 582
69 385
70 361
71 307
72 299
73 353
74 351
75 358
76 372
77 307
78 1184
79 367
80 540
81 302
82 310
83 385
84 366
85 374
86 936
87 371
88 1007
89 366
90 302
91 337
92 286
93 438
94 299
95 315
96 382
97 386
98 377
99 372
100 310
