0 697 759 717
1 470 535 515
2 490 522 504
3 457 523 584
4 470 529 524
5 457 524 504
6 458 621 508
7 458 545 504
8 457 533 520
9 455 523 500
10 491 521 500
11 458 523 541
12 457 535 500
13 455 534 504
14 458 520 501
15 467 524 504
16 456 527 610
17 456 523 578
18 475 529 499
19 459 526 506
20 467 526 501
21 460 542 514
22 455 520 498
23 463 522 498
24 455 535 526
25 456 520 501
26 456 523 502
27 457 522 509
28 458 522 497
29 458 524 502
30 455 571 509
31 456 526 502
32 457 523 500
33 457 526 500
34 501 522 500
35 459 520 502
36 457 531 504
37 459 525 500
38 457 524 500
39 459 528 504
40 455 525 500
41 514 525 502
42 461 523 506
43 456 525 501
44 456 527 501
45 456 521 496
46 455 523 495
47 456 521 501
48 454 523 545
49 455 535 505
50 456 523 504
51 455 525 503
52 456 526 500
53 455 522 502
54 457 524 510
55 457 522 504
56 461 525 541
57 458 524 502
58 454 524 502
59 458 528 503
60 457 528 501
61 457 536 503
62 456 524 503
63 455 534 575
64 456 523 501
65 476 561 593
66 465 522 503
67 457 608 501
68 456 525 499
69 463 523 496
70 454 525 502
71 457 533 498
72 456 523 498
73 456 533 499
74 456 526 574
75 456 550 503
76 455 528 501
77 457 528 501
78 455 519 501
79 464 525 500
80 457 524 497
81 457 522 504
82 457 530 505
83 455 523 501
84 583 720 570
85 754 680 599
86 564 538 518
87 457 523 510
88 662 754 822
89 456 526 505
90 468 636 691
91 471 526 503
92 458 579 500
93 471 522 499
94 458 536 503
95 455 529 510
96 464 652 503
97 458 554 510
98 455 524 502
99 456 527 522
