0 704 555 516
1 475 569 515
2 482 552 505
3 476 564 520
4 675 774 746
5 481 715 716
6 637 739 572
7 636 649 722
8 630 712 744
9 693 739 539
10 687 769 499
11 640 720 598
12 634 743 588
13 718 760 522
14 652 745 509
15 643 706 611
16 590 589 579
17 486 595 516
18 470 539 500
19 482 590 560
20 630 711 621
21 622 696 603
22 637 736 557
23 638 695 613
24 644 780 513
25 641 813 502
26 635 727 560
27 636 679 743
28 633 767 501
29 630 719 573
30 624 708 588
31 645 690 741
32 628 724 551
33 627 692 647
34 640 770 501
35 640 701 729
36 651 750 695
37 644 725 562
38 635 735 554
39 657 690 729
40 625 729 602
41 628 732 556
42 638 753 537
43 634 724 561
44 638 789 572
45 627 742 506
46 645 743 742
47 636 694 696
48 627 742 510
49 617 690 587
50 659 586 503
51 467 551 523
52 550 561 498
53 613 689 588
54 616 725 532
55 636 731 540
56 619 753 499
57 640 735 525
58 629 696 625
59 729 769 510
60 484 551 500
61 503 553 501
62 472 543 511
63 632 686 614
64 644 641 612
65 632 740 536
66 611 713 546
67 637 654 676
68 633 743 549
69 621 710 570
70 624 682 776
71 530 549 497
72 480 554 511
73 463 563 593
74 631 755 530
75 638 705 628
76 639 756 510
77 626 738 635
78 632 752 631
79 628 734 543
80 647 710 517
81 620 798 510
82 617 710 549
83 650 694 578
84 621 717 586
85 634 526 521
86 627 723 717
87 611 702 841
88 601 603 556
89 744 630 541
90 508 719 680
91 623 703 633
92 628 687 638
93 620 720 566
94 489 595 504
95 473 558 500
96 474 544 504
97 517 604 594
98 487 590 501
99 475 575 537
